Nombre,Marca,Categoría,Especie,Formato,Precio,Precio anterior,Descripción breve,Descripción larga,Ingredientes,Imagen,Destacado,Nuevo
Pienso Fresh Pollo y Arroz Perro Senior,Fresh,pienso-perros,perro,12 kg,40.90,,Receta de pollo con arroz. Bajo en cereales Monoproteico. Bajo en grasas.,"Alimento completo para perros adultos de todas las razas. Receta de pollo con arroz. Bajo en cereales Monoproteico. Bajo en grasas. Apto también para perros esterilizados. 100% proteína animal.  50% total carne. 80% pollo + 20% pollo fresco.

Formato de 12 kg. Tamaño de la croqueta: 14 mm.","Pollo deshidratado, pollo fresco (Después de extrusión)20%, cebada, arroz entero 10%, guisantes 6%, maíz, remolacha 4%, aceite de pollo, hidrolizado de hígado de pollo, zanahoria 1%, manzana 1%, aceite de oliva, achicoria y Yucca schidigera para reducir el olor de las heces.",https://dapac.es/4200-large_default/Fresh-mediterranean-blend-senior-light-12kg-.jpg,,
Pienso Fresh Pollo y Arroz Para Cachorros,Fresh,pienso-perros,perro,12 kg,42.90,,Receta mediterránea natural diseñada específicamente para el crecimiento saludable de los cachorros.,"La receta ""Fresh Mediterranean Blend Puppy"" combina pollo fresco (20%) y deshidratado (26%) con arroz integral, verduras y aceites ricos en Omega 6, cuidando el crecimiento y el bienestar de tu cachorro desde su primer bocado. Cuenta con un 80% de proteínas de origen animal y un bajo contenido en cereales, este alimento completo incluye ingredientes 100% naturales, antioxidantes vegetales y aceite de oliva para una digestión saludable y un desarrollo óptimo. Receta Sin trigo, sin azúcares añadidos, sin conservantes artificiales. ","Pollo deshidratado (Después de extrusión) 26%, pollo fresco 20%, arroz integral 12,5%, maíz, salvado de arroz, aceite de pollo, guisantes 3%, remolacha 3%, hidrolizado de hígado de pollo, minerales, levaduras (MOS 1%), aceite de pescado, zanahoria 1%, manzana 1%, achicoria (FOS 1%), aceite de oliva 0,5%)y Yucca.",https://dapac.es/4731-large_default/Fresh-mediteranean-blend-puppy-12kg.jpg,,
Pienso Zen Low Grain Pollo Perro Mediano,Zen Low Grain,pienso-perros,perro,12 kg,52.90,,Alimento completo para perros adultos de razas medianas a partir de los 12 meses de edad,"Alimento completo para perros adultos de razas medianas a partir de los 12 meses de edad.70% total pollo. 40% carne de pollo cruda. 90% digestibilidad. Rico en antioxidantes, Omega 3 y Omega 6. EPA+DHA. Formato 12 kg. ","Pollo fresco (Después de extrusión) 40%, pollo deshidratado 25%, arroz integral 12%, guisantes 8%, hidrolizado de hígado de pollo y grasa de ave. Incluye GOOD + FEEL COMPLEX (10%): manzana, semillas de linaza, harina de pescado, zanahoria, brócoli, tomate, arándanos y Yucca schidigera.",https://dapac.es/3368-large_default/Zen_Imagine_Low_Grain_Medium_Adult_Chicken_12kg.jpg,,
Pienso Zen Low Grain Pollo Perro Grande,Zen Low Grain,pienso-perros,perro,12 kg,52.90,,Alimento completo para perros adultos de razas grandes a partir de los 15 meses de edad.,Alimento completo para perros adultos de razas grandes a partir de los 15 meses de edad. 70% total pollo. 40% carne de pollo cruda. 90% digestibilidad. Formato 12 kg.,"Pollo fresco (Después de extrusión) 40%, pollo deshidratado 25%, arroz integral, guisantes, hidrolizado de hígado de pollo 5%, aceite de pollo, pulpa de manzana, harina de pescado y semillas de linaza. Incluye vegetales y hierbas como zanahoria, manzanilla, brócoli, tomate y arándanos para un soporte antioxidante completo.",https://dapac.es/2441-large_default/Zen_Imagine_Low_Grain_Large_Adult_Chicken_12kg.jpg,,
Pienso Zen Low Grain Pollo Perro Senior,Zen Low Grain,pienso-perros,perro,12 kg,53.90,,Alimento completo para perros adultos de los 7 años de edad.,Alimento completo para perros adultos de los 7 años de edad. 70% total pollo. 40% carne de pollo cruda. 90% digestibilidad. Formato 12 kg. ,"Pollo fresco (Después de extrusión) 40%, pollo deshidratado 25%, arroz integral 15%, maíz e hidrolizado de hígado de pollo. Incluye el exclusivo GOOD+FEEL COMPLEX (10%) con remolacha, aceite de pescado rico en Omega-3, semillas de linaza, Yucca schidigera y extractos cítricos.",https://dapac.es/3292-large_default/Zen_Imagine_Low_Grain_Adult_Senior_12kg.jpg,,
Pienso Zen Low Grain Pollo Light,Zen Low Grain,pienso-perros,perro,12 kg,53.90,,"Alimento completo para perros adultos de razas medianas y grandes con sobrepeso, tendencia al sobrepeso o esterilizados.","Alimento completo para perros adultos de razas medianas y grandes con sobrepeso, tendencia al sobrepeso o esterilizados. 67% total pollo. 40% carne de pollo cruda. 90% digestibilidad. Rico en antioxidantes. EPA+DHA. Formato 12 kg.","Pollo fresco (Después de extrusión) 40%, pollo deshidratado 25%, guisantes 10%, cebada integral y arroz integral. Contiene el exclusivo GOOD + FEEL COMPLEX (12%) con manzana, remolacha (fuente de fibra), avena integral, semillas de linaza y extractos de frutos rojos para un soporte antioxidante completo.",https://dapac.es/2436-large_default/Zen_Imagine_Low_Grain_Adult_light_medium_maxi_12kg.jpg,,
Pienso Zen Low Grain Cordero,Zen Low Grain,pienso-perros,perro,12 kg,57.90,,Alimento completo para perros adultos de cualquier raza a partir de los 12 meses de edad.,Alimento completo para perros adultos de cualquier raza a partir de los 12 meses de edad. 70% auténtico cordero. 40% carne de cordero fresca. Alta digestibilidad. Formato de 12 kg.,"Cordero fresco (Después de extrusión) 40%, cordero deshidratado 25%, arroz integral 15%, hidrolizado de hígado de cordero, maíz entero y patata. Incluye GOOD + FEEL COMPLEX con aceite de pescado, semillas de linaza, inulina, yucca schidigera, glucosamina y condroitina para el soporte articular.",https://dapac.es/2447-large_default/Zen_Imagine_Low_Grain_Adult_Lamb_12kg.jpg,,
Pienso Zen Low Grain Salmón,Zen Low Grain,pienso-perros,perro,12 kg,59.90,,Alimento completo para perros adultos de razas mediana y grande a partir de los 12 meses de edad.,"Alimento completo para perros adultos de razas mediana y grande a partir de los 12 meses de edad. 70% auténtico salmón. 40% salmón fresco. 90% alta digestibilidad. 82% total proteína de salmón. 0% soja, trigo y maíz. Formato de 12 kg.","Salmón fresco (Después de extrusión) 40%, salmón deshidratado 25%, patata 9%, hidrolizado de salmón, arroz integral, guisantes 5% y GOOD + FEEL COMPLEX (11%): aceite de pollo, levaduras, manzana, linaza, algarroba, aceite de pescado, minerales, inulina (FOS), MOS, zanahoria, cítricos, manzanilla, brócoli, tomate, jengibre, yucca schidigera y arándanos.",https://dapac.es/2449-large_default/Zen_Imagine_Low_Grain_Adult_medium_large_Sensitive_12kg.jpg,,
Pienso Zen Low Grain Salmón Talla Mini,Zen Low Grain,pienso-perros,perro,8 kg,46.90,,Alimento completo para perros adultos de razas pequeñas a partir de los 12 meses de edad.,"Alimento completo para perros adultos de razas pequeñas a partir de los 12 meses de edad. 70% auténtico salmón. 40% salmón fresco. 90% alta digestibilidad. 82% total proteína de salmón. 0% soja, trigo y maíz. Formato de 8 kg.","Salmón fresco (Después de extrusión) 40%, salmón deshidratado 25%, patata 9%, arroz integral, guisantes 5% y GOOD + FEEL COMPLEX (10%): una exclusiva mezcla de manzana, linaza, aceite de pescado (rico en Omega-3), jengibre, brócoli, arándanos y Yucca schidigera para reducir el olor de las deposiciones.",https://dapac.es/2475-large_default/Zen_Imagine_Low_Grain_Adult_Mini_Sensitive_8kg.jpg,,
Pienso Zen Low Grain Pollo Talla Mini,Zen Low Grain,pienso-perros,perro,8 kg,42.90,,Alimento completo para perros adultos de razas pequeñas a partir de los 10 meses de edad.,Alimento completo para perros adultos de razas pequeñas a partir de los 10 meses de edad. 70% real pollo. 40% carne de pollo cruda. 90% digestibilidad. Formato de 8 kg. ,"Pollo fresco (Después de la extrusión) 40%, pollo deshidratado 25%, arroz integral 10%, guisantes 8%, hidrolizado de hígado de pollo y aceite de pollo. Enriquecido con GOOD + FEEL COMPLEX (8%): una mezcla de manzana, linaza, zanahoria, manzanilla, brócoli y arándanos para reforzar el sistema inmunológico.",https://dapac.es/2433-large_default/Zen_Imagine_Low_Grain_Mini_Adult_8kg.jpg,,
Pienso Zen Low Grain Pollo Light/Senior Talla Mini,Zen Low Grain,pienso-perros,perro,8 kg,43.90,,Alimento completo para perros adultos de razas pequeñas con sobrepeso o con tendencia al sobrepeso.,Alimento completo para perros adultos de razas pequeñas con sobrepeso o con tendencia al sobrepeso. 67% total pollo. 40% carne de pollo cruda. 90% digestibilidad ,"Pollo fresco (Después de extrusión) 40%, pollo deshidratado 25%, guisantes 9%, cebada integral y arroz integral 4%. Enriquecido con el complejo GOOD + FEEL (12%): manzana, avena, semillas de linaza, remolacha, brócoli, arándanos y extractos de cítricos.",https://dapac.es/2458-large_default/Zen_Imagine_Low_Grain_Light_Mini_Adult_8_kg.jpg,,
Pienso Zen Low Grain Pollo Cachorro,Zen Low Grain,pienso-perros,perro,12 kg,52.90,,"Alimento completo para cachorros de razas medianas y grandes desde los 2 hasta los 15-18 meses de edad, según tamaño.","Alimento completo para cachorros de razas medianas y grandes desde los 2 hasta los 15-18 meses de edad, según tamaño. 70% auténtico pollo. 40% pollo fresco. 18% fruta y vegetales. 0% soja, trigo, maíz. 90% digestibilidad. Apto también para madres de razas medianas y grandes durante la última fase de gestación y lactancia. Formato 12 kg.","Pollo fresco (Después de extrusión) 40%, pollo deshidratado 25%, arroz integral 10%, guisantes 9% y GOOD + FEEL COMPLEX (11%): una combinación funcional de manzana, linaza, arándanos, zanahoria, manzanilla y prebióticos (FOS y MOS) para una microbiota intestinal sana.",https://dapac.es/2573-large_default/Zen_Imagine_Low_Grain_Puppy_Medium_Maxi_12_KG__.jpg,,
Pienso Zen Low Grain Pollo Cachorro Mini,Zen Low Grain,pienso-perros,perro,8 kg,43.90,,Alimento premium completo para cachorros de razas mini o razas pequeñas de los 2 a los 10 meses de edad.,"Alimento premium completo para cachorros de razas mini o razas pequeñas de los 2 a los 10 meses de edad. 70% auténtico pollo. 40% pollo fresco. 18% fruta y vegetales. 0% soja, trigo y maíz. 90% digestibilidad. Rico en fibra y prebióticos. Formato 8 kg. ","Pollo fresco (después de extrusión) 40%, proteína deshidratada de pollo 25%, arroz integral 10%, guisantes 6% e hidrolizado de hígado de pollo. Incluye el exclusivo GOOD + FEEL COMPLEX (14%) con manzana, algarroba, semillas de linaza, zanahoria, brócoli, tomate y arándanos.",https://dapac.es/2576-large_default/Zen_Imagine_Low_Grain_Puppy_Mini_8kg.jpg,,
Pienso Zen Grain Free Pollo-Pavo-Pato,Zen Free Grain,pienso-perros,perro,12 kg,63.90,,"Alimento superpremium para perros adultos de todas las razas cuyo ingrediente principal es el pollo fresco, pato y pavo.","Alimento superpremium para perros adultos de todas las razas cuyo ingrediente principal es el pollo fresco, pato y pavo. 80% proteína animal, 60% verdadera carne, 20% frutas y vegetales y 0% cereales. Formato de 12 kg.","Pollo fresco (Después de la extrusión) 33%, pato, pavo y pollo deshidratados (21%), patata, guisantes, manzana, aceite de pollo, hígado de ave, huevo, semilla de linaza, calabaza (1%), aceite de pescado, krill, arándanos azules, jengibre, glucosamina y condroitina para la salud articular.",https://dapac.es/2535-large_default/Zen_Countrys_Best_Chicken__Duck_and_Turkey_Adult_12kg.jpg,,
Pienso Zen Grain Free Pollo-Pavo-Pato Talla Mini,Zen Free Grain,pienso-perros,perro,8 kg,49.90,,Alimentación super premium para perros adultos de razas pequeñas o razas mini.,"Alimentación super premium para perros adultos de razas pequeñas o razas mini. Ingredientes principales: pollo fresco, pato, pavo. 80% proteína animal, 60% verdadera carne, 20% frutas y vegetales, 0% cereales. Formato de 8 kg. ","Pollo fresco (Después de extrusión) 34%. Pollo, pavo y pato deshidratado 22%. Patata 18%. Guisantes 10%. Aceite de pollo 6%. Manzana 4%. Hígado dea ve. Huevos enteros 2%. Levaduras. Minerales. Calabaza 1%. Aceite de pescado. Krill. Arándanos. Jengibre. Inulina (fuentede FOS). Manano-oligosacáridos (MOS). Manzanilla. Hinojo. Caléndula. Glucosamina. Yucca schidigera. Sulfato de condroitina.",https://dapac.es/2536-large_default/Zen_Country_s_Best_Mini___Chicken__Duck_and_Turkey_8kg.jpg,,
Pienso Zen Grain Free Salmón,Zen Free Grain,pienso-perros,perro,12 kg,69.90,,Alimentación super premium para perros adultos hipoalergénicos. Cero cereal.,"La variedad Zen Healthy Fish de Zen Natural Balanced Nutrition cuenta con el salmón fresco y pescado blanco como ingredientes principales. Se trata de un alimento seco super premium desarrollado para perros adultos de cualquier raza. Su fórmula se basa en 80% proteína animal, 20% frutas y vegetales y 0% cereales.","Salmón fresco (después de extrusión) 33%, pescado blanco deshidratado 23%, patata 17%, guisantes 9%, aceite de pollo 6%, manzana 6%, hígado de salmón hidrolizado, semilla de linaza, calabaza 1%, levaduras, minerales, krill, arándanos azules, jengibre, inulina (fuente de FOS), manano-oligosacáridos (MOS), manzanilla, hinojo, caléndula, glucosamina 500 mg/kg (ratio 5:1), Yucca schidigera, sulfato de condroitina 100 mg/kg (ratio 1:5).",https://dapac.es/2539-large_default/Zen_Healthy_Fish_Salmon_and_White_fish_12kg.jpg,,
Pienso Zen Grain Free Conejo Light,Zen Free Grain,pienso-perros,perro,10 kg,64.90,,"Zen Grain Free Rabbit Light & Fit es un alimento ultra hipoalergénico, natural y balanceado, diseñado para mantener a tu perro activo y saludable sin cereales.","Zen ""Grain Free Rabbit Light & Fit"" ofrece una nutrición natural y balanceada con carne de conejo fresco como ingrediente principal . Especialmente formulado para perros adultos de todas las razas, contiene un 72% de proteína de origen animal, 45% de ingredientes de origen animal y un 0% de cereales.

Ideal para mantener a tu perro activo y saludable. Alimento ultra hipoalergénico.","Conejo fresco (Después de extrusión) 20%, conejo deshidratado 17%, patata, guisantes, tapioca, remolacha, Super Food Complex (23%) Manzana, aceite de cerdo, proteína de conejo, semilla de linaza, hígado de conejo (para mayor palatabilidad), aceite de pescado, manzana, fibras vegetales, inulina (FOS), glucosamina (500 mg/kg) y condroitina (100 mg/kg).",https://dapac.es/4543-large_default/zen-grain-free-rabbit-light-fit-adult-10kg.jpg,,
Pienso Zen Grain Free Pollo,Zen Free Grain,pienso-perros,perro,12 kg,64.90,,Alimentación super premium para perros cuyo ingrediente principal es el pollo fresco.,"Alimentación super premium para perros cuyo ingrediente principal es el pollo fresco. Apto para perros adultos de todas las razas. 80% proteína animal, 60% verdadera carne, 20% frutas y vegetales y 0% cereales. ",Pollo fresco (Después de extrusión) 33%. Pollo deshidratado 21%. Patata 20%. Guisantes 11%. Aceite de pescado 5%. Manzana 4% Hígado de ave. Huevos enteros 1%. Semilla de linaza. Grasa de ave. Minerales. Calabaza 1%. Levaduras. Krill. Arándanos azules. Jengibre. Inulina (fuente de FOS). Manano-oligosacáridos (MOS). Manzanilla. Hinojo. Caléndula. Glucosamina 1000mg/kg. Sulfato de condroitina 300mg/kg. Yucca schidigera.,https://dapac.es/2530-large_default/Zen_Strong_Joints_Adult_Med_Maxi_12kg.jpg,,
Pienso Zen Grain Free Pollo-Pavo-Pato Senior/Light,Zen Free Grain,pienso-perros,perro,12 kg,64.90,,Alimento seco grain free e hipoalergénico para perros adultos o senior. ,"Alimento seco grain free e hipoalergénico para perros adultos o senior. Con pollo fresco, pato y pavo, 85% proteína animal y superfoods como krill, linaza y arándanos. Favorece el control de peso, la digestión y el brillo del pelaje.","Pollo fresco (despúes de la extrusión) 33%*. Pollo, pavo y pato deshidratado 25%. SUPER FOOD COMPLEX 42%: Hidrolizado de hígado de pollo (digest natural). Guisantes*. Patata*. Remolacha*. Tapioca*. Manzana*. Patata dulce*. Huevo*. Lignocelulosa (fibra - sensación saciedad). Aceite de pollo (fuente de ácidos grasos Omega 6). Semilla de linaza*. Proteína de patata (proteína libre de cenizas). Proteína de fermentacion (muy digestible sin cenizas). Proteína de guisantes (proteína libre de cenizas). Levaduras. Calabaza*. Aceite de pescado. Mine- rales. Krill*. Arándanos*. Inulina (fuente de FOS) 100 mg/kg*. Pared celular hidrolizada de levaduras (fuente de MOS) 100 mg/kg. Manzanilla*. Jengibre*. Hinojo*. Caléndula*. Glucosamina 500 mg/kg. Yucca schidigera*. Condroitina 100 mg/kg.",https://dapac.es/5529-large_default/Zen-Countrys-Best-Light-pavo-pollo-pato-Adult-12kg.jpg,,
Pienso Zen Grain Free Pollo-Pavo-Pato Cachorro,Zen Free Grain,pienso-perros,perro,12 kg,66.90,,Alimentación superpremium para cachorros de todas las razas. ,"Alimentación superpremium para cachorros de todas las razas. Los ingredientes principales son el pollo, el pato y el pavo. Su fórmula se basa en 80% proteína animal, 60% verdadera carne, 20% frutas y vegetales y 0% cereales. Formato de 12 kg.","Pollo fresco (Después de la extrusión) 33%. Pato, pavo y pollo deshidratado 23%. Patata 12%. Guisantes 11%. Aceite de pollo 5%. Garrofa tostada. Manzana 4%. Hígado de ave. Huevos enteros. Levaduras. Calabaza 1%. Minerales. Aceite de pescado. Krill. Arándanos azules. Inulina (fuente de FOS). Manano-oligosacáridos (MOS). Jengibre. Extractos de cítricos. Manzanilla. Caléndula. Hinojo. Glucosamina. Yucca schidigera. Sulfato de condroitina.",https://dapac.es/2537-large_default/Zen_Country_s_Best_Puppy___Chicken__Duck_and_Turkey_12kg.jpg,,
